platform,user_name,talent_name,post_url,post_id,post_caption_text,post_type,date_published,post_likes_count,post_comments_count,post_shares_count,post_angry_count,post_haha_count,post_love_count,post_sad_count,post_wow_count,post_dislikes_count,post_engagements_count,property,author_type,media_classification,date_of_week_ending_in,lifetime_post_total_impressions,lifetime_post_total_reach,video_views,sub_property,outlier_tag
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/839436070799829,'839436070799829,"The Queens are talking about Ray J going after Kris Jenner for her alleged lies on the James Cordon show Thoughts Soulmates Make sure you tune in to Cocktails with Queens every Monday at 8pm ET, only on FOX SOUL",native_video,9/13/2022,2926,834,407,25,206,388,39,361,,5186,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/838229594253810,'838229594253810,"Claudia, Al, and Funky are talking about 50 Cent tweeting about Lil Kim and getting wrecked in response on social media",native_video,9/11/2022,1299,425,156,216,36,56,41,190,,2419,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/841804410562995,'841804410562995,"Claudia, Al, and Funky are talking about Nicki Minaj continuing her online rant against Garcelle Beauvais and Loni Love Tune in to TEAGIF every Wednesday and Friday on FOX SOUL",native_video,9/16/2022,1456,406,85,12,51,316,8,69,,2403,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/840327660710670,'840327660710670,The Queens are talking about Nicki Minaj going after RHOBH star Garcelle Beauvais for her comments defending her son Tune in to Cocktails With Queens every Monday night at 8pm ET,native_video,9/14/2022,1105,363,126,13,452,54,9,64,,2186,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/838230954253674,'838230954253674,"Claudia, Al, and Funky are talking about Tokyo Toni putting her own daughter Blac Chyna on blast for saying she makes 240 million dollars a year from Only Fans",native_video,9/12/2022,892,382,108,3,372,34,21,118,,1930,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/841195560623880,'841195560623880,The Queens are talking about Ne-Yo and his divorce heating up as he refuses to pay alimony,native_video,9/16/2022,690,238,39,1,13,115,6,23,,1125,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/836399791103457,'836399791103457,"The Queens are joined by the queen of dancehall, Spice She dishes on her new album Emancipation, her story, and new projects",native_video,9/11/2022,623,62,81,3,9,220,0,0,,998,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/840322554044514,'840322554044514,"Claudia, Al, and Funky are talking about a Popeyes employee who refused to serve a woman who wanted to pay for a meal for a homeless man Tune in to TEA-G-I-F every Wednesday and Friday at 8pm ET only on FOX SOUL",native_video,9/14/2022,285,120,62,149,4,4,40,124,,788,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/839434380799998,'839434380799998,"Claudia, Al, and Funky are talking about a mother a gave birth to twins and then realized there were two different fathers",native_video,9/13/2022,302,125,73,0,91,10,8,139,,748,Fox Soul,Show Page,Owned,9/17/2022,,,,,
Facebook,foxsoul,,www.facebook.com/foxsoul/posts/841840750559361,'841840750559361,"Claudia, Al, and Funky are talking about Kandi Burruss throwing around accusations that Carlos King Stole her life story WATCH LIVE  EXPLORE MORE at: https://wwwfoxsoultv/ Download the FOX SOUL app to watch LIVE shows and full episodes while on the go Connect with FOX SOUL social: Twitter  https://twittercom/foxsoultv Instagram  https://wwwinstagramcom/foxsoul Facebook  https://wwwfacebookcom/FOXSOUL",native_video,9/16/2022,440,77,25,2,17,14,10,81,,666,Fox Soul,Show Page,Owned,9/17/2022,,,,,
