screen_name,text,favorite_count,retweet_count,url,id,Date,friends_count,followers_count,Post_Flag,Tweet_Flag,mediatype,Show,total_engagements,Author Type,Final Tagging,image_url,spend_level,subproperty
dwannb,Im getting ready to film Fox Soul Im on a panel with Cynthia G and Dr Umar Johnson Im getting ready to go to work yall ,639,86,www.twitter.com/dwannb/status/1567577089670549504,'1567577089670549504,9/7/2022 0:00,,,Post,Main,,Fox Soul,725,,Organic,,,
DrUmarJohnson,I am very disappointed in fox soul for not making me aware that there was a surgically altered male on yesterdays panel This would have not led to a rejection of the invitation to participate in the discussion but would have definitely altered my https://tco/RqBalAizpl https://tco/bwDvun1VqT,400,97,www.twitter.com/DrUmarJohnson/status/1567903424473186304,'1567903424473186304,9/8/2022 0:00,,,Post,Main,photo,Fox Soul,497,,Organic,http://pbs.twimg.com/media/FcJP2mjXgAATvU1.jpg,,
The1stLadyLove,his heifer basically hates her own sons her fathers and her brothers I hate that Fox Soul gave this thing a platform to spew her anti-Blackmen rhetoric Ugh ,320,70,www.twitter.com/The1stLadyLove/status/1568088209191477248,'1568088209191477248,9/9/2022 0:00,,,Post,Main,,Fox Soul,390,,Organic,,,
ShoweringChimp,his is why when people complain about the manosphere vs divesters I laugh KS got a guest cameos reading off a script for pushing traditional conservativism Cynthia G gets put on FOX Soul every few months to give her opinion on black men after advocating for genocide,224,57,www.twitter.com/ShoweringChimp/status/1567979242788454400,'1567979242788454400,9/8/2022 0:00,,,Post,Main,,Fox Soul,281,,Organic,,,
dwannb,I just got called to do Fox Soul again,250,20,www.twitter.com/dwannb/status/1566922935134171137,'1566922935134171137,9/5/2022 0:00,,,Post,Main,,Fox Soul,270,,Organic,,,
TJHasArisen,@ctreid89 What does Fox Soul gain by having her on their platform ,180,9,www.twitter.com/TJHasArisen/status/1567931820385214465,'1567931820385214465,9/8/2022 0:00,,,Post,Main,,Fox Soul,189,,Organic,,,
BMAndWW4u,We made it yall we mainstream  Ill be waiting for my Fox Soul guest invite @BlackMale1st @blackmanrise1 #SYSBM https://tco/GkGzeljFBM,131,34,www.twitter.com/BMAndWW4u/status/1568790837072371712,'1568790837072371712,9/10/2022 0:00,,,Post,Main,video,Fox Soul,165,,Organic,http://pbs.twimg.com/ext_tw_video_thumb/1568790382560804869/pu/img/_3c66BqYiPt_aTJF.jpg,,
dwannb,his was my first time on fox soul 2 years ago They ended the episode early because i was tearing these NON FBA folks to shreds https://tco/OBBc98jegQ,116,26,www.twitter.com/dwannb/status/1566929948765351937,'1566929948765351937,9/5/2022 0:00,,,Post,Main,,Fox Soul,142,,Organic,,,
psilocykic,Cynthia G has said to abort all black male children and Fox Soul really brought her on as a panelist Not to mention everything she said was demonstrably false,89,22,www.twitter.com/psilocykic/status/1568265724547719168,'1568265724547719168,9/9/2022 0:00,,,Post,Main,,Fox Soul,111,,Organic,,,
Supportblkk,Imagine if black men went on fox soul saying this about black women,68,20,www.twitter.com/Supportblkk/status/1568267416257417217,'1568267416257417217,9/9/2022 0:00,,,Post,Main,,Fox Soul,88,,Organic,,,
S3AN_D,@TJHasArisen @ctreid89 Fox Soul is a haven for black feminists,70,3,www.twitter.com/S3AN_D/status/1567975252738842624,'1567975252738842624,9/8/2022 0:00,,,Post,Main,,Fox Soul,73,,Organic,,,
ThaSouth,@TJHasArisen @ctreid89 Youre under the impression that fox soul exist to benefit the black community,66,4,www.twitter.com/ThaSouth/status/1568000902958616576,'1568000902958616576,9/8/2022 0:00,,,Post,Main,,Fox Soul,70,,Organic,,,
dwannb,Going live now Debating Bitterness Fox Soul Recap https://tco/t57VVXQxC via @YouTube,18,14,www.twitter.com/dwannb/status/1567741960810790913,'1567741960810790913,9/8/2022 0:00,,,Post,Main,,Fox Soul,32,,Organic,,,
F3Minii,@ctreid89 Fox Soul is promoting anti-Black American content  Wow,20,8,www.twitter.com/F3Minii/status/1568240043759747073,'1568240043759747073,9/9/2022 0:00,,,Post,Main,,Fox Soul,28,,Organic,,,
WmAG_V,@ChezCharde First of all this counter productive rhetoric is broadcasted Fox Soul the black targeted arm of a white supremacist company Secondly salacious attacks against black men with shoddy context tells me she just wants the clicks  views Shes carrying water for white supremacy,19,2,www.twitter.com/WmAG_V/status/1568301796254273537,'1568301796254273537,9/9/2022 0:00,,,Post,Main,,Fox Soul,21,,Organic,,,
KamilahVMoore,Summer Recap: Chair Of The California Reparations Task Force Kamilah Moore Talks Phase 2  @FoxSoulTV Black Report https://tco/K1irHS4yNn #AB3121 #CRTF #ReparationsNow #FoxSoul #BlackReport,10,5,www.twitter.com/KamilahVMoore/status/1568630833891917824,'1568630833891917824,9/10/2022 0:00,,,Post,Main,,Fox Soul,15,,Organic,,,
foxsoultv,Its Virgo Season amp were screaming Happy Birthday to the talented @larenztate xfx9fxa5xb3 We hope you enjoy your day xfx9fx92x9cxe2x8xa6 https://tco/RIwdIZO7qn,11,3,www.twitter.com/foxsoultv/status/1567874324186406912,'1567874324186406912,9/8/2022 0:00,494,6548,Post,Main,,Fox Soul,14,Show Page,Owned,,,
foxsoultv,Which of these is your favorite to clean to xfx9fx91x8xfx9fxa4x94nnxfx9fx8exa5: @blavity nn#FOXSoul #SundayVibes https://tco/1l5AsiCVRZ,9,3,www.twitter.com/foxsoultv/status/1566478926704267266,'1566478926704267266,9/4/2022 0:00,494,6548,Post,Main,,Fox Soul,12,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1566478726145212416/pu/img/f0xuLVLfHfRsiMi0.jpg,,
geogrification,@afollowerofdr @tariqnasheed @YouTube The comment section on the fox soul show showed that shes a champion for the   and sore loser brigade of our society,9,2,www.twitter.com/geogrification/status/1568349770217029632,'1568349770217029632,9/9/2022 0:00,,,Post,Main,,Fox Soul,11,,Organic,,,
foxsoultv,Happy Birthday to our legendary Virgo queen Beyonc  Whats your favorite album from Queen Bey #FOXSoul #Beyonce https://tco/6hwILnqhNd,7,4,www.twitter.com/foxsoultv/status/1566426301258514439,'1566426301258514439,9/4/2022 0:00,,,Post,Main,video,Fox Soul,11,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1566426140473958400/pu/img/TT2Gc0rp4QHoET4d.jpg,,
foxsoultv,Whew Is anybody else simply #Thankul today He keeps providing and making a way out of NO WAY nnWho else has thixe2x8xa6 https://tco/nBJRSCRbaC,7,3,www.twitter.com/foxsoultv/status/1566461252251041794,'1566461252251041794,9/4/2022 0:00,494,6548,Post,Main,,Fox Soul,10,Show Page,Owned,,,
IntellectWise,@The1stLadyLove Yea fox soul should had never given a platform to a person like cynthia G There is no reasoning with her She want black men gone You cant reason with that,9,1,www.twitter.com/IntellectWise/status/1568320354493337600,'1568320354493337600,9/9/2022 0:00,,,Post,Main,,Fox Soul,10,,Organic,,,
DanteAbstract,@TJHasArisen @ctreid89 Fox Soul is a minstrel show,6,3,www.twitter.com/DanteAbstract/status/1568016486110748673,'1568016486110748673,9/8/2022 0:00,,,Post,Main,,Fox Soul,9,,Organic,,,
foxsoultv,PSA  Walk into this week like you know your worth You got this  #FOXSoul https://tco/5cRzDpnrLw,7,2,www.twitter.com/foxsoultv/status/1567209953886191618,'1567209953886191618,9/6/2022 0:00,,,Post,Main,video,Fox Soul,9,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1567209800856911876/pu/img/M_PPrU0rTRHQa34u.jpg,,
FOX29philly,Monday on The Pulse With Bill Anderson: She might be incredibly successful but actress producer  TV host @MsVivicaFox needs @BillAFox29s help pronouncing some of our areas more challenging names Tune in Monday at 6:3pm on FOX 29 and 9:pm on FOX Soul https://tco/R1ehA3VI3M,3,5,www.twitter.com/FOX29philly/status/1568391371613954051,'1568391371613954051,9/9/2022 0:00,,,Post,Main,video,Fox Soul,8,,Organic,http://pbs.twimg.com/ext_tw_video_thumb/1568391316874170368/pu/img/x6KBngsdnN4OB21V.jpg,,
GullahRehabbed,At its peak Tom Joyner had 17 million listeners No radio show in any format has that many listeners today Fox Soul a streaming app plus on all digital audio format all talk has 61 million listeners,5,3,www.twitter.com/GullahRehabbed/status/1568673675985178625,'1568673675985178625,9/10/2022 0:00,,,Post,Main,,Fox Soul,8,,Organic,,,
UncleHotep,Would you be tweeting about Fox Soul if she wasnt on There you go,7,1,www.twitter.com/UncleHotep/status/1568318724226048001,'1568318724226048001,9/9/2022 0:00,,,Post,Main,,Fox Soul,8,,Organic,,,
foxsoultv,We all love the #QueenBee but where are all the super fans Do you know the answer to this #Trivia Question https://tco/vpWDmt8sGf,6,1,www.twitter.com/foxsoultv/status/1567661670754820097,'1567661670754820097,9/7/2022 0:00,494,6548,Post,Main,,Fox Soul,7,Show Page,Owned,http://pbs.twimg.com/ext_tw_video_thumb/1567661504920518658/pu/img/X7i1pqV61I-Jzhll.jpg,,
i_need_money00,But his own black women try to play him on Fox soul https://tco/ULgmrZDAJ7,5,2,www.twitter.com/i_need_money00/status/1568758226727886848,'1568758226727886848,9/10/2022 0:00,,,Post,Main,photo,Fox Soul,7,,Organic,http://pbs.twimg.com/media/FcVJbWTWIAUZ82w.jpg,,
